NAME,LATITUDE,LONGITUDE,TYPE
Menisa,53.44371262,-113.4506956,Ball Diamond
Keheewin,53.45065689,-113.505128,Ball Diamond
Ritchie Park,53.51397431,-113.480635,Ball Diamond
Ramsey Heights,53.48225512,-113.5806776,Ball Diamond
Archbishop O'Leary,53.59424194,-113.4719499,Ball Diamond
Mill Creek,53.51592431,-113.4825733,Ball Diamond
ME Lazerte,53.60769993,-113.4497034,Ball Diamond
JA Fife,53.61283098,-113.4615245,Ball Diamond
John Fry Park,53.46163942,-113.478214,Ball Diamond
Poplar Park,53.62833166,-113.4695777,Ball Diamond
Borden Park,53.56339525,-113.4516695,Ball Diamond
Dunluce,53.62184306,-113.5249626,Ball Diamond
Glendale,53.53734865,-113.600544,Ball Diamond
Kameyosek,53.46061603,-113.4446444,Ball Diamond
Argyll Park,53.50501495,-113.4651449,Ball Diamond
York Park,53.60130705,-113.4323725,Ball Diamond
JC Bowen,53.61099101,-113.4757021,Ball Diamond
Goldstick,53.54649839,-113.4036533,Ball Diamond
Parkview,53.52510315,-113.56874,Ball Diamond
LaPerle W,53.53158761,-113.6472518,Ball Diamond
St Lucy,53.62460038,-113.5276753,Ball Diamond
Kiniski Gardens,53.48001779,-113.4063885,Ball Diamond
Silver Berry W,53.4589721,-113.3850634,Ball Diamond
Bessie Nichols,53.48657348,-113.66942,Ball Diamond
Steinhauer,53.46343911,-113.5077177,Ball Diamond
Satoo,53.44696752,-113.4594633,Ball Diamond
Ogilvie,53.46254383,-113.560639,Ball Diamond
Dickinsfield,53.60468473,-113.4786629,Ball Diamond
Mill Woods Park,53.45497928,-113.4395827,Ball Diamond
Lillian Osborne,53.45624577,-113.579984,Ball Diamond
Terrace Heights,53.53997521,-113.4366343,Ball Diamond
Highlands,53.56990106,-113.4342212,Ball Diamond
Sifton,53.59358732,-113.407931,Ball Diamond
Beaumaris,53.61799745,-113.4990195,Ball Diamond
Coronation Park,53.56480955,-113.5649294,Ball Diamond
Primrose,53.51728608,-113.6488018,Ball Diamond
Castle Downs,53.61907114,-113.5231204,Ball Diamond
Ozerna,53.62236258,-113.4503581,Ball Diamond
Blackmud Creek Park 1,53.4192129,-113.516,Ball Diamond
St Edmund,53.59049511,-113.5255994,Ball Diamond
Dovercourt,53.57502073,-113.5614396,Ball Diamond
Scott Robertson,53.59626329,-113.5032744,Ball Diamond
Greenview,53.47657546,-113.425782,Ball Diamond
St Benedict,53.52555682,-113.6343576,Ball Diamond
Grandview,53.49904348,-113.5459594,Ball Diamond
Earl Buxton,53.47353562,-113.5847349,Ball Diamond
LaPerle W,53.53313769,-113.642615,Ball Diamond
,53.52914923,-113.6807398,Ball Diamond
Pleasantview,53.49540544,-113.5100831,Ball Diamond
Rundle Park,53.55713986,-113.3828668,Ball Diamond
Riverdale,53.54320449,-113.4687041,Ball Diamond
Northmount,53.60348499,-113.4802791,Ball Diamond
Laurier Park,53.50965094,-113.5524286,Ball Diamond
Fraser,53.61098886,-113.3755047,Ball Diamond
Princeton,53.591066,-113.4584243,Ball Diamond
Mount Carmel,53.51313509,-113.5023806,Ball Diamond
Primrose,53.51740154,-113.6478023,Ball Diamond
John Fry Park,53.46241205,-113.48409,Ball Diamond
Bisset,53.46086956,-113.4009016,Ball Diamond
Archbishop O'Leary,53.59459233,-113.4748996,Ball Diamond
Norwood,53.56094158,-113.4878166,Ball Diamond
Velma E Baker,53.47971339,-113.3849392,Ball Diamond
St Elizabeth Seton,53.59550443,-113.3961624,Ball Diamond
LaPerle W,53.53194874,-113.6446709,Ball Diamond
Brintnell,53.6208839,-113.4056697,Ball Diamond
St Basil,53.56769593,-113.4966192,Ball Diamond
Youngstown,53.54538895,-113.6051232,Ball Diamond
Weinlos,53.46188741,-113.4145181,Ball Diamond
JA Fife,53.61346592,-113.4616257,Ball Diamond
St Angela,53.59538374,-113.5516378,Ball Diamond
Grand Trunk,53.59132493,-113.5097973,Ball Diamond
Capilano,53.55581774,-113.4239138,Ball Diamond
Herb Link,53.62539465,-113.5337968,Ball Diamond
Lady Prairies,53.4990749,-113.6238462,Ball Diamond
Clareview Park,53.60414908,-113.4050275,Ball Diamond
Donnan Park,53.51546405,-113.4716607,Ball Diamond
Jasper Place Jubilee Park,53.52801027,-113.6001467,Ball Diamond
Kameyosek,53.46080308,-113.4437383,Ball Diamond
